Wars,Year,Summary,Resource Link
Sarawak Communist Insurgency,1962–1990,"The Communist insurgency in Sarawak occurred in Malaysia from 1962 to 1990, and involved the North Kalimantan Communist Party and the Malaysian Government. It was one of the two Communist insurgencies to challenge the former British colony of Malaysia during the Cold War. As with the earlier Malayan Emergency (1948–1960), the Sarawak Communist insurgents were predominantly ethnic Chinese, who opposed to British rule over Sarawak and later opposed the merger of the state into the newly created Federation of Malaysia. The insurgency was triggered by the 1962 Brunei Revolt, which had been instigated by the left-wing Brunei People's Party in opposition to the proposed formation of Malaysia.The Sarawak Communist insurgents were also supported by Indonesia until 1965 when the pro-Western President Suharto assumed power and ended the confrontation with Malaysia. During that period, the NKCP's two main military formations were created: the Sarawak People's Guerilla Force (SPGF) or Pasukan Gerilya Rakyat Sarawak (PGRS), and the North Kalimantan People's Army (NKPA) or the Pasukan Rakyat Kalimantan Utara (PARAKU). Following the end of the Confrontation, Indonesian military forces would co-operate with the Malaysians in counter-insurgency operations against their former allies.The North Kalimantan Communist Party was formally established in March 1970 through the merger of several Communist and left-wing groups in Sarawak including the Sarawak Liberation League (SLL), the Sarawak Advanced Youths' Association (SAYA), and the NKPA. In response to the insurgency, the Malaysian federal government created several ""controlled areas"" along the Kuching-Serian road in Sarawak's First and Third Divisions in 1965. In addition, the Sarawak Chief Minister Abdul Rahman Ya'kub also managed to convince many of the NKCP insurgents to enter into peace negotiations and lay down their arms between 1973 and 1974. Following the successful peace talks between the Malaysian government and the Malayan Communist Party in 1989, the remaining NKCP insurgents signed a peace agreement on 17 October 1990 which formally ended the insurgency.

",https://en.wikipedia.org/wiki/Sarawak_Communist_Insurgency
Sand War,1963,"The Sand War or Sands War (Arabic: حرب الرمال‎ ḥarb ar-rimāl) was a border conflict between Algeria and Morocco in October 1963. It resulted largely from the Moroccan government's claim to portions of Algeria's Tindouf and Béchar provinces. The Sand War led to heightened tensions between the two countries for several decades. It was also notable for a short-lived Cuban and Egyptian military intervention on behalf of Algeria, and for ushering in the first multinational peacekeeping mission carried out by the Organization of African Unity.",https://en.wikipedia.org/wiki/Sand_War
Aden Emergency,1963–1967,"The Aden Emergency, also known as the Radfan Uprising, was an insurgency against the Forces of the British Empire in the Protectorate of South Arabia, which now form part of Yemen. Partly inspired by Nasser's pan-Arab nationalism, it began on 14 October 1963 with the throwing of a grenade at a gathering of British officials at Aden Airport. A state of emergency was then declared in the British Crown colony of Aden and its hinterland, the Aden Protectorate. The emergency escalated in 1967 and hastened the end of British rule in the territory which had begun in 1839. On 30 November 1967, British forces withdrew and the independent People's Republic of South Yemen was proclaimed.",https://en.wikipedia.org/wiki/Aden_Emergency
Insurgency in Northeast India,1963–present,"Insurgency in Northeast India involves multiple armed separatist factions operating in India's northeastern states, which are connected to the rest of India by the Siliguri Corridor, a strip of land as narrow as 14 miles (23 km) wide. Some factions favour a separate state while others seek regional autonomy. Some groups demand complete independence. Others wanted religious law.
Northeastern India consists of seven states (also known as the Seven Sister States): Assam, Meghalaya, Tripura, Arunachal Pradesh, Mizoram, Manipur, and Nagaland. Tensions exist between these states and the central government as well as amongst their native tribal people and migrants from other parts of India. Regional tensions eased off in late 2013, with the Indian and state governments making a concerted effort to raise the living standards of people in these regions. However, in late 2014 tensions again rose as the Indian government launched an offensive, which led to a retaliatory attack on civilians by tribal guerrillas. As of 1 January 2015, major militant activities are being conducted in Assam, Manipur, Nagaland and Tripura.
The Indian general election, 2014 had an 80% voter turnout in all northeastern states, the highest among all states of India. Indian authorities claim that this shows the faith of the northeastern people in Indian democracy. Despite this, a number of organizations listed as terrorist groups continue to promote an insurgency.",https://en.wikipedia.org/wiki/Insurgency_in_Northeast_India
Rhodesian Bush War,1964–1979,"The Rhodesian Bush War—also called the Second Chimurenga and the Zimbabwe War of Liberation—was a civil conflict from July 1964 to December 1979 in the unrecognised country of Rhodesia (later Zimbabwe-Rhodesia).
The conflict pitted three forces against one another: the Rhodesian government, led by Ian Smith (later the Zimbabwe-Rhodesian government of Bishop Abel Muzorewa); the Zimbabwe African National Liberation Army, the military wing of Robert Mugabe's Zimbabwe African National Union; and the Zimbabwe People's Revolutionary Army of Joshua Nkomo's Zimbabwe African People's Union.
The war and its subsequent Internal Settlement, signed in 1978 by Smith and Muzorewa, led to the implementation of universal suffrage in June 1979 and the end of white minority rule in Rhodesia, which was renamed Zimbabwe Rhodesia under a black majority government. However, this new order failed to win international recognition and the war continued. Neither side achieved a military victory and a compromise was later reached.Negotiations between the government of Zimbabwe-Rhodesia, the UK Government and Mugabe and Nkomo's united ""Patriotic Front"" took place at Lancaster House, London in December 1979, and the Lancaster House Agreement was signed. The country returned temporarily to British control and new elections were held under British and Commonwealth supervision in March 1980. ZANU won the election and Mugabe became the first Prime Minister of Zimbabwe on 18 April 1980, when the country achieved internationally recognised independence.",https://en.wikipedia.org/wiki/Rhodesian_Bush_War
Dominican Civil War,1965,"The Dominican Civil War (Spanish: Guerra Civil Dominicana) took place between April 24, 1965, and September 3, 1965, in Santo Domingo, Dominican Republic. It started when civilian and military supporters of former President Juan Bosch overthrew acting President Donald Reid Cabral. The coup prompted General Elías Wessin y Wessin to organize elements of the military loyal to President Reid (""loyalists""), initiating an armed campaign against the so-called constitutionalist rebels. Allegations of foreign support for the rebels led to a United States intervention in the conflict, which later transformed into an Organization of American States occupation of the country. Elections were held in 1966, in the aftermath of which Joaquín Balaguer was elected into the presidential seat. Later in the same year international troops departed from the country.",https://en.wikipedia.org/wiki/Dominican_Civil_War
Chadian Civil War (1965–79),1965–1979,"The First Chadian Civil War started in 1965 and ended in 1979, with riots and insurgency against Chadian president François Tombalbaye's rule, known for its authoritarianism and distrust of democracy.",https://en.wikipedia.org/wiki/Chadian_Civil_War_(1965%E2%80%9379)
Communist insurgency in Thailand,1965–1983,"The Communist insurgency in Thailand was a guerrilla war lasting from 1965 until 1983, fought mainly by the Communist Party of Thailand (CPT) and the government of Thailand. The war declined in 1980 following the declaration of an amnesty and by 1983 the CPT had abandoned the insurgency.

",https://en.wikipedia.org/wiki/Communist_insurgency_in_Thailand
Ñancahuazú Guerrilla,1966–1967,"The Ñancahuazú Guerrilla or Ejército de Liberación Nacional de Bolivia (National Liberation Army of Bolivia; ELN) was a group of mainly Bolivian and Cuban guerrillas led by the guerrilla leader Che Guevara which was active in the  Cordillera Province, Bolivia from 1966 to 1967. The group established its base camp on a farm across the Ñancahuazú river, a seasonal tributary of the Rio Grande, 250 kilometers southwest of the city of Santa Cruz de la Sierra. The guerrilla was intended to work as a foco, a point of armed resistance to be used as a first step to overthrow the Bolivian government and create a socialist state. The guerrillas defeated several Bolivian patrols before they were beaten and Guevara was captured and executed. Only five guerrillas managed to survive and flee to Chile.",https://en.wikipedia.org/wiki/%C3%91ancahuaz%C3%BA_Guerrilla
Korean DMZ Conflict (1966–1969),1966–1969,"The Korean DMZ Conflict, also referred to as the Second Korean War by some, was a series of low-level armed clashes between North Korean forces and the forces of South Korea and the United States, largely occurring between 1966 and 1969 at the Korean DMZ.",https://en.wikipedia.org/wiki/Korean_DMZ_Conflict_(1966%E2%80%931969)
South African Border War,1966–1990,"The South African Border War, also known as the Namibian War of Independence, and sometimes denoted in South Africa as the Angolan Bush War, was a largely asymmetric conflict that occurred in Namibia (then South West Africa), Zambia, and Angola from 26 August 1966 to 21 March 1990. It was fought between the South African Defence Force (SADF) and the People's Liberation Army of Namibia (PLAN), an armed wing of the South West African People's Organisation (SWAPO). The South African Border War resulted in some of the largest battles on the African continent since World War II and was closely intertwined with the Angolan Civil War.
Following several decades of unsuccessful petitioning through the United Nations and the International Court of Justice for Namibian independence, SWAPO formed the PLAN in 1962 with material assistance from the Soviet Union, the People's Republic of China, and sympathetic African states such as Tanzania, Ghana, and Algeria. Fighting broke out between PLAN and the South African authorities in August 1966. Between 1975 and 1988 the SADF staged massive conventional raids into Angola and Zambia to eliminate PLAN's forward operating bases. It also deployed specialist counter-insurgency units such as Koevoet and 32 Battalion trained to carry out external reconnaissance and track guerrilla movements.South African tactics became increasingly aggressive as the conflict progressed. The SADF's incursions produced Angolan casualties and occasionally resulted in severe collateral damage to economic installations regarded as vital to the Angolan economy. Ostensibly to stop these raids, but also to disrupt the growing alliance between the SADF and the National Union for the Total Independence for Angola (UNITA), which the former was arming with captured PLAN equipment, the Soviet Union backed the People's Armed Forces of Liberation of Angola (FAPLA) through a large contingent of military advisers and up to four billion dollars' worth of modern defence technology in the 1980s. Beginning in 1984, regular Angolan units under Soviet command were confident enough to confront the SADF. Their positions were also bolstered by thousands of Cuban troops. The state of war between South Africa and Angola briefly ended with the short-lived Lusaka Accords, but resumed in August 1985 as both PLAN and UNITA took advantage of the ceasefire to intensify their own guerrilla activity, leading to a renewed phase of FAPLA combat operations culminating in the Battle of Cuito Cuanavale. The South African Border War was virtually ended by the Tripartite Accord, mediated by the United States, which committed to a withdrawal of Cuban and South African military personnel from Angola and South West Africa, respectively. PLAN launched its final guerrilla campaign in late March 1989. South West Africa received formal independence as the Republic of Namibia a year later, on 21 March 1990.Despite being largely fought in neighbouring states, the South African Border War had a phenomenal cultural and political impact on South African society. The country's apartheid government devoted considerable effort towards presenting the war as part of a containment programme against regional Soviet expansionism and used it to stoke public anti-communist sentiment. It remains an integral theme in contemporary South African literature at large and Afrikaans-language works in particular, having given rise to a unique genre known as grensliteratuur (directly translated ""border literature"").",https://en.wikipedia.org/wiki/South_African_Border_War
Nigerian Civil War,1967–1970,"The Nigerian Civil War, also known as the Biafran War and the Nigerian-Biafran War (6 July 1967 – 15 January 1970), was a war fought between the government of Nigeria and the secessionist state of Biafra. Biafra represented nationalist aspirations of the Biafran people, whose leadership felt they could no longer coexist with the Northern-dominated federal government. The conflict resulted from political, economic, ethnic, cultural and religious tensions which preceded Britain's formal decolonization of Nigeria from 1960 to 1963. Immediate causes of the war in 1966 included ethno-religious riots in Northern Nigeria, a military coup, a counter-coup and persecution of Igbo living in Northern Nigeria. Control over the lucrative oil production in the Niger Delta played a vital strategic role.
Within a year, the Federal Government troops surrounded Biafra, capturing coastal oil facilities and the city of Port Harcourt. The blockade imposed during the ensuing stalemate led to mass starvation. During the two and half years of the war, there were about 100,000 overall military casualties, while between 500,000 and 2 million Biafran civilians died of starvation.In mid-1968, images of malnourished and starving Biafran children saturated the mass media of Western countries. The plight of the starving Biafrans became a cause célèbre in foreign countries, enabling a significant rise in the funding and prominence of international non-governmental organisations (NGOs). The United Kingdom and the Soviet Union were the main supporters of the Nigerian government, while France, Israel and some other countries supported Biafra.",https://en.wikipedia.org/wiki/Nigerian_Civil_War
Naxalite–Maoist insurgency,1967–present,"The Naxalite–Maoist insurgency is an ongoing conflict between Maoist groups known as Naxalites or Naxals and the Indian government. The conflict in its present form began after the 2004 formation of the Communist Party of India (Maoist) (CPI-Maoists), a rebel group composed of the People's War Group (PWG) and the Maoist Communist Centre (MCC). In January 2005, talks between the Andhra Pradesh state government and the CPI-Maoists broke down and the rebels accused authorities of not addressing their demands for a written truce, release of prisoners and redistribution of land. The ongoing conflict had taken place over a vast territory (around half of India's 29 states)  with hundreds of people being killed annually in clashes between the CPI-Maoists and the government every year since 2005.
However, it  is now confined to only few districts of Chhattisgarh, Andhra Pradesh, Telangana and Maharashtra.
The armed wing of the Naxalite–Maoists is called the People's Liberation Guerrilla Army (PLGA) and is estimated to have between 6,500 and 9,500 cadres, mostly armed with small arms. According to a study of the newspaper The Times of India, 58% of people surveyed in the state of Andhra Pradesh have a positive perception of the guerrilla, against only 19% against it. The Naxalites have frequently targeted tribal, police and government workers in what they say is a fight for improved land rights and more jobs for neglected agricultural labourers and the poor. The Naxalites claim that they are following a strategy of rural rebellion similar to a protracted people's war against the government.In February 2009, the Indian central government announced a new nationwide initiative to be called the Integrated Action Plan (IAP) for broad co-ordinated operations aimed at dealing with the Naxalite problem in all affected states, namely Karnataka, Chhattisgarh, Odisha, Andhra Pradesh, Maharashtra, Jharkhand, Bihar, Uttar Pradesh and West Bengal. This plan included funding for grass-roots economic development projects in Naxalite-affected areas as well as increased special police funding for better containment and reduction of Naxalite influence. After the first full year of implementation of the national IAP program, Karnataka was removed from the list of Naxal-affected states in August 2010. In July 2011, the number of Naxal-affected areas was reduced to (figure includes proposed addition of 20 districts) 83 districts across nine states. In December 2011, the national government reported that the number of Naxalite related deaths and injuries nationwide had gone down by nearly 50% from 2010 levels.
The Naxalite–Maoist insurgency gained international media attention after the 2013 Naxal attack in Darbha valley resulted in the deaths of around 24 Indian National Congress leaders, including the former state minister Mahendra Karma and the Chhattisgarh Congress chief Nand Kumar Patel.",https://en.wikipedia.org/wiki/Naxalite%E2%80%93Maoist_insurgency
Years of Lead (Italy),1968–1982,"The Years of Lead (Italian: Anni di piombo) is a term used for a period of social and political turmoil in Italy that lasted from the late 1960s until the late 1980s, marked by a wave of both left-wing and right-wing incidents of political terrorism.
The Years of Lead are often considered to have begun with the Hot Autumn strikes starting in 1969; the death of the policeman Antonio Annarumma who was killed in a leftist demonstration in November 1969; the Piazza Fontana bombing in December of that year, which killed 17 and was likely perpetrated by right-wing terrorists in Milan; and the subsequent death of Giuseppe Pinelli while in police custody.The term's origin possibly came as a reference to the number of shootings during the period, or a popular 1981 German film Marianne and Juliane, released in Italy as Anni di piombo, which centered on the lives of two members of the West German militant far-left group Red Army Faction which had gained notoriety during the same period.",https://en.wikipedia.org/wiki/Years_of_Lead_(Italy)
Communist insurgency in Malaysia (1968–89),1968–1989,"The Communist insurgency in Malaysia, also known as the Second Malayan Emergency, (Malay: Perang Insurgensi Melawan Pengganas Komunis or Perang Insurgensi Komunis and Darurat Kedua) was an armed conflict which occurred in Malaysia from 1968 to 1989, involving the Malayan Communist Party (MCP) and Malaysian federal security forces.
Following the end of the Malayan Emergency in 1960, the predominantly ethnic Chinese Malayan National Liberation Army, armed wing of the MCP, had retreated to the Malaysian-Thailand border where it had regrouped and retrained for future offensives against the Malaysian government. The insurgency officially began when the MCP ambushed security forces in Kroh–Betong, in the northern part of Peninsular Malaysia, on 17 June 1968. The conflict also coincided with renewed tensions between ethnic Malays and Chinese in peninsular Malaysia and the Vietnam War.While the Malayan Communist Party received some limited support from China, this support ended when Kuala Lumpur and Beijing established diplomatic relations in June 1974. In 1970, the MCP experienced a schism which led to the emergence of two breakaway factions: the Communist Party of Malaya–Marxist-Leninist (CPM–ML) and the Revolutionary Faction (CPM–RF). Despite efforts to make the MCP appeal to Malays, the organisation was dominated by ethnic Chinese throughout the war. Instead of declaring a ""state of emergency"" as the British had done previously, the Malaysian government responded to the insurgency by introducing several policy initiatives including the Security and Development Program (KESBAN), Rukun Tetangga (Neighbourhood Watch), and the RELA Corps (People’s Volunteer Group).The insurgency came to an end on 2 December 1989 when the MCP signed a peace accord with the Malaysian government at Hatyai in southern Thailand. This coincided with the collapse of the Eastern Bloc Communist regimes. Besides the fighting on the Malayan peninsula, another Communist insurgency also occurred in the Malaysian state of Sarawak in the island of Borneo, which had been incorporated into the Federation of Malaysia on 16 September 1963.",https://en.wikipedia.org/wiki/Communist_insurgency_in_Malaysia_(1968%E2%80%9389)
Operation Condor,1968–1989,"Operation Condor (Spanish: Operación Cóndor, also known as Plan Cóndor; Portuguese: Operação Condor) was a United States–backed campaign of political repression and state terror involving intelligence operations and assassination of opponents, officially and formally implemented in November 1975 by the right-wing dictatorships of the Southern Cone of South America. 
The program, nominally intended to eradicate communist or Soviet influence and ideas, was created to suppress active or potential opposition movements against the participating governments' neoliberal economic policies, which sought to reverse the economic policies of the previous era.Due to its clandestine nature, the precise number of deaths directly attributable to Operation Condor is highly disputed. Some estimates are that at least 60,000 deaths can be attributed to Condor, roughly 30,000 of these in Argentina, and the so-called ""Archives of Terror"" list 50,000 killed, 30,000 disappeared and 400,000 imprisoned. American political scientist J. Patrice McSherry gives a figure of at least 402 killed in operations which crossed national borders in a 2002 source, and mentions in a 2009 source that of those who ""had gone into exile"" and were ""kidnapped, tortured and killed in allied countries or illegally transferred to their home countries to be executed . . . hundreds, or thousands, of such persons—the number still has not been finally determined—were abducted, tortured, and murdered in Condor operations."" Victims included dissidents and leftists, union and peasant leaders, priests and nuns, students and teachers, intellectuals and suspected guerillas. Although it was described by the CIA as ""a cooperative effort by the intelligence/security services of several South American countries to combat terrorism and subversion,"" guerrillas were used as an excuse, as they were never substantial enough to control territory, gain material support by any foreign power, or otherwise threaten national security. Condor's key members were the governments in Argentina, Chile, Uruguay, Paraguay, Bolivia and Brazil. Ecuador and Peru later joined the operation in more peripheral roles.The United States government provided planning, coordinating, training on torture, technical support and supplied military aid to the Juntas during the Johnson, Nixon, Ford, Carter, and the Reagan administrations. Such support was frequently routed through the Central Intelligence Agency (CIA).",https://en.wikipedia.org/wiki/Operation_Condor
Al-Wadiah War,1969,The al-Wadiah War was a military conflict which broke out on 27 November 1969 between Saudi Arabia and the People's  Republic of South Yemen after PRSY forces seized the town of al-Wadiah on the PRSY-Saudi Arabian border. The conflict ended on 6 December when Saudi forces retook al-Wadiah.,https://en.wikipedia.org/wiki/Al-Wadiah_War
Civil conflict in the Philippines,1969–present,"The civil conflict in the Philippines as of February 2019, consists of an insurgency pitting Government forces against Maoist rebels, that began in 1969 during the rule of Ferdinand Marcos.
the CPP–NPA–NDF rebellion
the Moro conflict (until February 2019)",https://en.wikipedia.org/wiki/Civil_conflict_in_the_Philippines
Modern history of Yemen,1972,"The modern history of Yemen began with the withdrawal of the Ottoman Empire. In 1839 the British set up a protective area around the southern port of Aden and in 1918 the northern Kingdom of Yemen gained independence from the Ottoman Empire. North Yemen became a republic in 1962, but it was not until 1967 that the British Empire withdrew from what became South Yemen. In 1970, the southern government adopted a communist governmental system. The two countries were formally united as the Republic of Yemen on May 22, 1990.

",https://en.wikipedia.org/wiki/Modern_history_of_Yemen#Relations_between_the_North_Yemen_and_the_South_Yemen
Angolan Civil War,1974–2002,"The Angolan Civil War (Portuguese: Guerra civil angolana) was a civil conflict in Angola, beginning in 1975 and continuing, with interludes, until 2002. The war began immediately after Angola became independent from Portugal in November 1975. The war was a power struggle between two former liberation movements, the People's Movement for the Liberation of Angola (MPLA) and the National Union for the Total Independence of Angola (UNITA). The war was used as a surrogate battleground for the Cold War by rival states such as the Soviet Union, Cuba, South Africa and the United States.The MPLA and UNITA had different roots in Angolan society and mutually incompatible leaderships, despite their shared aim of ending colonial rule. A third movement, the National Front for the Liberation of Angola (FNLA), having fought the MPLA with UNITA during the war for independence, played almost no role in the Civil War. Additionally, the Front for the Liberation of the Enclave of Cabinda (FLEC), an association of separatist militant groups, fought for the independence of the province of Cabinda from Angola.
The 27-year war can be divided roughly into three periods of major fighting – from 1975 to 1991, 1992 to 1994 and from 1998 to 2002 – with fragile periods of peace. By the time the MPLA achieved victory in 2002, more than 500,000 people had died and over one million had been internally displaced. The war devastated Angola's infrastructure and severely damaged public administration, the economy and religious institutions.
The Angolan Civil War was notable due to the combination of Angola's violent internal dynamics and massive foreign intervention. The war became a Cold War struggle, as the Soviet Union and the United States, with their allies, provided military assistance to parties in the conflict. The conflict became closely intertwined with the Second Congo War in the neighbouring Democratic Republic of the Congo and the South African Border War.",https://en.wikipedia.org/wiki/Angolan_Civil_War
Ethiopian Civil War,1974–1991,"The Ethiopian Civil War was a civil conflict fought between Ethiopia's military junta communist governments and anti-government rebels from September 1974 to June 1991.
The Derg overthrew the Ethiopian Empire and Emperor Haile Selassie in a coup d'état on 12 September 1974, establishing Ethiopia as a Marxist-Leninist communist state with itself as a military junta and provisional government. Various left-wing, ethnic, and anti-communist opposition groups supported by the United States began armed resistance to the Soviet-backed Derg, in addition to the Eritrean separatists already fighting in the Eritrean War of Independence. The Derg used military campaigns and the Qey Shibir (Ethiopian Red Terror) to repress the rebels. By the mid-1980s, various issues such as the 1983–1985 famine, economic decline and other after-effects of Derg policies ravaged Ethiopia, increasing popular support for the rebels. The Derg dissolved itself in 1987, establishing the People's Democratic Republic of Ethiopia (PDRE) under the Workers' Party of Ethiopia (WEP) in an attempt to maintain its rule. The Soviet Union ended its support for the PDRE in the late-1980s and the government was overwhelmed by the increasingly victorious rebel groups. In May 1991, the PDRE was defeated in Eritrea and President Mengistu Haile Mariam fled the country. The Ethiopian Civil War ended on 4 June 1991 when the Ethiopian People's Revolutionary Democratic Front (EPRDF), a coalition of left-wing ethnic rebel groups, entered the capital Addis Ababa and overthrew the WEP. The PDRE was dissolved and replaced with the Tigray People's Liberation Front-led Transitional Government of Ethiopia.The Ethiopian Civil War left at least 1.4 million people dead, with 1 million of the deaths being related to famine and the remainder from combat and other violence.",https://en.wikipedia.org/wiki/Ethiopian_Civil_War
Lebanese Civil War,1975–1990,"The Lebanese Civil War (Arabic: الحرب الأهلية اللبنانية‎ – Al-Ḥarb al-Ahliyyah al-Libnāniyyah) was a multifaceted civil war in Lebanon, lasting from 1975 to 1990 and resulting in an estimated 120,000 fatalities. As of 2012, approximately 76,000 people remain displaced within Lebanon. There was also an exodus of almost one million people from Lebanon as a result of the war.Before the war, Lebanon was multisectarian, with Sunni Muslims and Christians being the majorities in the coastal cities, Shia Muslims being mainly based in the south and the Beqaa Valley to the east, and with the mountain populations being mostly Druze and Christian. The government of Lebanon had been run under a significant influence of the elites among the Maronite Christians. The link between politics and religion had been reinforced under the mandate of the French colonial powers from 1920 to 1943, and the parliamentary structure favored a leading position for its Christian population. However, the country had a large Muslim population and many pan-Arabist and left-wing groups opposed the pro-western government. The establishment of the state of Israel and the displacement of a hundred thousand Palestinian refugees to Lebanon during the 1948 and 1967 exoduses contributed to shifting the demographic balance in favor of the Muslim population. The Cold War had a powerful disintegrative effect on Lebanon, which was closely linked to the polarization that preceded the 1958 political crisis, since Maronites sided with the West while leftist and pan-Arab groups sided with Soviet-aligned Arab countries.Fighting between Maronite and Palestinian forces (mainly from the Palestine Liberation Organization) began in 1975, then Leftist, pan-Arabist and Muslim Lebanese groups formed an alliance with the Palestinians. During the course of the fighting, alliances shifted rapidly and unpredictably. Furthermore, foreign powers, such as Israel and Syria, became involved in the war and fought alongside different factions. Peace keeping forces, such as the Multinational Force in Lebanon and UNIFIL, were also stationed in Lebanon.
The 1989 Taif Agreement marked the beginning of the end of the fighting. In January 1989, a committee appointed by the Arab League began to formulate solutions to the conflict. In March 1991, parliament passed an amnesty law that pardoned all political crimes prior to its enactment. In May 1991, the militias were dissolved, with the exception of Hezbollah, while the Lebanese Armed Forces began to slowly rebuild as Lebanon's only major non-sectarian institution. Religious tensions between Sunnis and Shias remained after the war.",https://en.wikipedia.org/wiki/Lebanese_Civil_War
Western Sahara War,1975–1991,"The Western Sahara War (Arabic: حرب الصحراء الغربية‎, French: Guerre du Sahara occidental, Spanish: Guerra del Sahara Occidental) was an  armed struggle between the Sahrawi indigenous Polisario Front and Morocco between 1975 and 1991, being the most significant phase of the Western Sahara conflict. The conflict erupted after the withdrawal of Spain from the Spanish Sahara in accordance with the Madrid Accords (signed under the pressure of the Green March), by which it transferred administrative control of the territory to Morocco and Mauritania, but not the sovereignty. In late 1975, the Moroccan government organized the Green March of some 350,000 Moroccan citizens, escorted by around 20,000 troops, who entered Western Sahara, trying to establish a Moroccan presence. While at first met with just minor resistance by the POLISARIO, Morocco later engaged a long period of guerrilla warfare with the Sahrawi nationalists. During the late 1970s, the Polisario Front, desiring to establish an independent state in the territory, attempted to fight both Mauritania and Morocco. In 1979, Mauritania withdrew from the conflict after signing a peace treaty with the POLISARIO. The war continued in low intensity throughout the 1980s, though Morocco made several attempts to take the upper hand in 1989–1991. A cease-fire agreement was finally reached between the Polisario Front and Morocco in September 1991. Some sources put the final death toll between 10,000 and 20,000 people.The conflict has since shifted from military to civilian resistance. A peace process, attempting to resolve the conflict has yet produced any permanent solution to Sahrawi refugees and territorial agreement between Morocco and the Sahrawi Republic. Today most of the territory of Western Sahara is under Moroccan control, while the inland parts are governed by the Sahrawi Arab Democratic Republic, managed by the Polisario Front.",https://en.wikipedia.org/wiki/Western_Sahara_War
Indonesian occupation of East Timor,1975–1999,"The Indonesian occupation of East Timor began in December 1975 and lasted until October 1999. After centuries of Portuguese colonial rule in East Timor, a 1974 coup in Portugal led to the decolonisation of its former colonies, creating instability in East Timor and leaving its future uncertain. After a small-scale civil war, the pro-independence Fretilin declared victory in the capital city of Dili and declared an independent East Timor on 28 November 1975.
Claiming that its assistance had been requested by East Timorese leaders, Indonesian military forces invaded East Timor on 7 December 1975 and by 1979 they had all but destroyed the armed resistance to the occupation. Following a controversial ""Popular Assembly"" which many said was not a genuine act of self-determination, Indonesia declared the territory a province of Indonesia (Timor Timur).
Immediately after the invasion, the United Nations General Assembly and Security Council passed resolutions condemning Indonesia's actions in East Timor and calling for its immediate withdrawal from the territory. Australia and Indonesia were the only nations in the world which recognised East Timor as a province of Indonesia, and soon afterwards they began negotiations to divide resources found in the Timor Gap.
Other governments, including those of the United States, Japan, Canada and Malaysia, also supported the Indonesian government. The invasion of East Timor and the suppression of its independence movement, however, caused great harm to Indonesia's reputation and international credibility.For twenty-four years the Indonesian government subjected the people of East Timor to routine and systematic torture, sexual slavery, extrajudicial executions, massacres, and deliberate starvation. The 1991 Santa Cruz Massacre caused outrage around the world, and reports of other such killings were numerous.
Resistance to Indonesian rule remained strong; in 1996 the Nobel Peace Prize was awarded to two men from East Timor, Carlos Filipe Ximenes Belo and José Ramos-Horta, for their ongoing efforts to peacefully end the occupation. A 1999 vote to determine East Timor's future resulted in an overwhelming majority in favour of independence, and in 2002 East Timor became an independent nation.
The Commission for Reception, Truth and Reconciliation in East Timor estimated the number of deaths during the occupation from famine and violence to be between 90,800 and 202,600, including between 17,600 and 19,600 violent deaths or disappearances, out of a 1999 population of approximately 823,386. The truth commission held Indonesian forces responsible for about 70% of the violent killings.After the 1999 vote for independence, paramilitary groups working with the Indonesian military undertook a final wave of violence during which most of the country's infrastructure was destroyed.
The Australian led International Force for East Timor restored order and following the departure of Indonesian forces from East Timor, the United Nations Transitional Administration in East Timor administered the territory for two years, establishing a Serious Crimes Unit to investigate and prosecute crimes committed in 1999.
Its limited scope and the small number of sentences delivered by Indonesian courts have caused numerous observers to call for an international tribunal for East Timor.Oxford University held an academic consensus calling the occupation of East Timor a genocide and Yale University teaches it as part of its Genocide Studies program.",https://en.wikipedia.org/wiki/Indonesian_occupation_of_East_Timor
Cabinda War,1975–present,"The Cabinda War is an ongoing separatist insurgency, waged by the Front for the Liberation of the Enclave of Cabinda (FLEC) against the government of Angola. FLEC aims at the restoration of the self-proclaimed Republic of Cabinda, located within the borders of the Cabinda province of Angola.",https://en.wikipedia.org/wiki/Cabinda_War
